City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
6,Salinopolis,BR,79.75,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
8,Butaritari,KI,83.71,broken clouds,3.0707,172.7902,Isles Sunset Lodge
9,Pasighat,IN,77.85,broken clouds,28.0667,95.3333,Siang Guest House
10,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Saint Stephen,GB,71.74,overcast clouds,50.3333,-4.9,4 stepaside corner
13,Florence,IT,80.28,clear sky,43.7667,11.25,Italiana Hotels Florence
15,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
18,Rostovka,RU,70.41,scattered clouds,55.3842,71.8891,Shanti Maurice Resort & Spa
19,Sierra Vista,US,79.81,scattered clouds,31.5545,-110.3037,Gateway Studio Suites
20,Bathsheba,BB,83.28,few clouds,13.2167,-59.5167,Atlantis Hotel
22,Matagami,CA,77.11,broken clouds,49.7502,-77.6328,Hôtel Matagami
25,Depok,ID,78.62,broken clouds,-6.4,106.8186,Hotel Santika Depok
26,Ilebo,CD,79.52,broken clouds,-4.3167,20.5833,Hôtel BUMAK
28,Albany,US,78.75,broken clouds,42.6001,-73.9662,Hôtel BUMAK
29,Tuburan,PH,81.93,broken clouds,6.6439,122.2736,GT Site
30,Kavieng,PG,82.04,light rain,-2.5744,150.7967,Nusa Island Retreat
32,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Rikitea,PF,71.37,overcast clouds,-23.1203,-134.9692,People ThankYou
44,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
45,Acarau,BR,81.99,clear sky,-2.8856,-40.12,castelo pizzaria
47,Garissa,KE,76.05,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
50,Conchas,BR,77.5,clear sky,-23.0153,-48.0106,Pousada Villa Harmonia
51,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
56,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
60,Impfondo,CG,75.7,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
61,Atuona,PF,76.91,broken clouds,-9.8,-139.0333,Villa Enata
63,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Redface Studios Meublés
64,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
67,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
68,Palmer,US,81.77,light rain,42.1584,-72.3287,Wedgewood Motel
70,Sola,VU,79.61,light rain,-13.8833,167.55,Leumerus Bungalows
71,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,Atherton,GB,70.45,overcast clouds,53.5237,-2.4935,The Lion Inn
75,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Los Llanos De Aridane,ES,70.12,few clouds,28.6585,-17.9182,Valle Aridane
85,Vaitape,PF,78.06,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
87,Buala,SB,79.59,light rain,-8.145,159.5921,Maringe Lagoon Lodge
88,Requena,ES,75.79,scattered clouds,39.4883,-1.1004,Hotel Avenida
93,Eydhafushi,MV,82.8,broken clouds,5.1033,73.0708,Soneva Fushi
94,Thompson,CA,77.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
95,Meulaboh,ID,77.22,overcast clouds,4.1363,96.1285,Kost Pria
96,Yellowknife,CA,74.32,smoke,62.456,-114.3525,The Explorer Hotel
100,Jamestown,US,78.08,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
101,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
102,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
103,Challans,FR,70.27,clear sky,46.8436,-1.8749,Citotel Le Challans
106,Gazanjyk,TM,89.06,clear sky,39.2446,55.5154,Railway motel
107,Portland,US,83.35,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
108,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
109,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
111,Lompoc,US,88.79,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
112,Katsuura,JP,80.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
114,Ried,DE,72.36,clear sky,48.477,11.2606,Tagungshaus Maria Beinberg
117,Damara,CF,81.82,light rain,4.9608,18.7035,Tagungshaus Maria Beinberg
121,Naze,JP,77.74,light rain,28.3667,129.4833,奄美ポートタワーホテル
123,Krasnoselkup,RU,70.38,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
124,Nizhnevartovsk,RU,73.42,clear sky,60.9344,76.5531,Gostinichnyy Kompleks Samotlor
125,Trincomalee,LK,81.28,overcast clouds,8.5711,81.2335,Welcombe Hotel
128,Port Blair,IN,81.32,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
133,Cukai,MY,78.94,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
136,Candolim,IN,81.19,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
