City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
0,Alofi,NU,-19.0595,-169.9187,75.09,100,11,5.75,few clouds,2021-07-23 19:35:50
1,Barrow,US,71.2906,-156.7887,37.42,93,90,16.11,mist,2021-07-23 19:44:47
2,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,19.57,clear sky,2021-07-23 19:40:02
3,Bluff,NZ,-46.6,168.3333,40.8,87,87,10.63,overcast clouds,2021-07-23 19:44:48
4,Carnarvon,AU,-24.8667,113.6333,59.07,66,90,8.05,overcast clouds,2021-07-23 19:44:48
5,Zaysan,KZ,47.4667,84.8667,67.59,60,57,3.04,broken clouds,2021-07-23 19:36:11
6,Salinopolis,BR,-0.6136,-47.3561,79.75,84,85,12.21,light rain,2021-07-23 19:44:49
7,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,3.49,light rain,2021-07-23 19:44:49
8,Butaritari,KI,3.0707,172.7902,83.71,73,52,16.71,broken clouds,2021-07-23 19:44:49
9,Pasighat,IN,28.0667,95.3333,77.85,96,73,1.72,broken clouds,2021-07-23 19:44:50
10,Mahebourg,MU,-20.4081,57.7,70.09,78,40,6.91,scattered clouds,2021-07-23 19:44:50
11,Usinsk,RU,65.9939,57.5281,54.3,75,100,7.49,overcast clouds,2021-07-23 19:44:50
12,Saint Stephen,GB,50.3333,-4.9,71.74,60,100,4.61,overcast clouds,2021-07-23 19:44:50
13,Florence,IT,43.7667,11.25,80.28,65,0,5.75,clear sky,2021-07-23 19:41:02
14,Port Elizabeth,ZA,-33.918,25.5701,47.1,93,40,3.44,scattered clouds,2021-07-23 19:43:53
15,Souillac,MU,-20.5167,57.5167,70.18,78,40,6.91,scattered clouds,2021-07-23 19:35:27
16,Alice Springs,AU,-23.7,133.8833,42.35,56,2,9.22,clear sky,2021-07-23 19:35:00
17,Bredasdorp,ZA,-34.5322,20.0403,49.32,76,0,9.22,clear sky,2021-07-23 19:44:51
18,Rostovka,RU,55.3842,71.8891,70.41,58,31,10.33,scattered clouds,2021-07-23 19:44:52
19,Sierra Vista,US,31.5545,-110.3037,79.81,51,40,8.99,scattered clouds,2021-07-23 19:44:52
20,Bathsheba,BB,13.2167,-59.5167,83.28,73,11,14.54,few clouds,2021-07-23 19:44:52
21,Ushuaia,AR,-54.8,-68.3,40.62,81,75,18.41,light rain,2021-07-23 19:41:41
22,Matagami,CA,49.7502,-77.6328,77.11,41,75,8.05,broken clouds,2021-07-23 19:32:38
23,Whitehorse,CA,60.7161,-135.0538,65.17,36,40,11.01,scattered clouds,2021-07-23 19:44:53
24,Qaanaaq,GL,77.484,-69.3632,43.57,57,23,1.66,few clouds,2021-07-23 19:44:54
25,Depok,ID,-6.4,106.8186,78.62,82,64,3.71,broken clouds,2021-07-23 19:44:54
26,Ilebo,CD,-4.3167,20.5833,79.52,29,75,1.25,broken clouds,2021-07-23 19:44:54
27,New Norfolk,AU,-42.7826,147.0587,43.75,80,66,1.01,broken clouds,2021-07-23 19:42:42
28,Albany,US,42.6001,-73.9662,78.75,59,59,7.87,broken clouds,2021-07-23 19:43:50
29,Tuburan,PH,6.6439,122.2736,81.93,81,82,7.18,broken clouds,2021-07-23 19:44:55
30,Kavieng,PG,-2.5744,150.7967,82.04,78,19,13.4,light rain,2021-07-23 19:35:33
31,Ambilobe,MG,-13.2,49.05,65.73,82,1,3.85,clear sky,2021-07-23 19:44:55
32,Hithadhoo,MV,-0.6,73.0833,82.18,77,100,14.34,overcast clouds,2021-07-23 19:44:56
33,San Jeronimo,PE,-11.9472,-75.2829,59.49,40,93,8.86,overcast clouds,2021-07-23 19:44:56
34,Busselton,AU,-33.65,115.3333,49.08,60,98,14.7,overcast clouds,2021-07-23 19:44:56
35,Hobart,AU,-42.8794,147.3294,44.11,85,81,3.0,broken clouds,2021-07-23 19:44:56
36,Saint-Philippe,RE,-21.3585,55.7679,67.59,70,43,7.61,scattered clouds,2021-07-23 19:44:57
37,Rikitea,PF,-23.1203,-134.9692,71.37,67,99,16.98,overcast clouds,2021-07-23 19:44:57
38,Malanje,AO,-9.5402,16.341,67.87,21,31,3.11,scattered clouds,2021-07-23 19:44:57
39,Ancud,CL,-41.8697,-73.8203,49.53,63,86,6.35,overcast clouds,2021-07-23 19:44:58
40,Iisalmi,FI,63.5592,27.1907,51.82,74,97,3.38,overcast clouds,2021-07-23 19:44:58
41,Saskylakh,RU,71.9167,114.0833,56.32,78,95,13.91,overcast clouds,2021-07-23 19:44:58
42,Airai,TL,-8.9266,125.4092,56.23,36,11,3.36,few clouds,2021-07-23 19:44:58
43,Bermeo,ES,43.4209,-2.7215,69.85,84,2,5.28,clear sky,2021-07-23 19:44:59
44,Nouadhibou,MR,20.931,-17.0347,71.58,78,0,14.97,clear sky,2021-07-23 19:44:59
45,Acarau,BR,-2.8856,-40.12,81.99,66,4,18.01,clear sky,2021-07-23 19:34:19
46,Half Moon Bay,US,37.4636,-122.4286,91.74,62,1,1.99,clear sky,2021-07-23 19:32:03
47,Garissa,KE,-0.4536,39.6401,76.05,66,62,22.12,broken clouds,2021-07-23 19:45:00
48,Smithers,CA,54.7804,-127.1743,55.72,76,75,2.3,light rain,2021-07-23 19:31:20
49,Rawson,AR,-43.3002,-65.1023,53.74,32,2,14.92,clear sky,2021-07-23 19:35:35
50,Conchas,BR,-23.0153,-48.0106,77.5,23,0,3.89,clear sky,2021-07-23 19:45:00
51,Avarua,CK,-21.2078,-159.775,77.05,73,2,8.05,clear sky,2021-07-23 19:45:01
52,Necochea,AR,-38.5473,-58.7368,53.04,71,100,14.12,overcast clouds,2021-07-23 19:43:28
53,Saldanha,ZA,-33.0117,17.9442,44.65,65,0,9.04,clear sky,2021-07-23 19:45:01
54,Provideniya,RU,64.3833,-173.3,51.93,66,35,7.49,scattered clouds,2021-07-23 19:45:03
55,Tarko-Sale,RU,64.9225,77.785,54.97,88,67,21.92,broken clouds,2021-07-23 19:45:03
56,Vila Velha,BR,-20.3297,-40.2925,75.15,57,20,10.36,few clouds,2021-07-23 19:31:50
57,Abha,SA,18.2164,42.5053,64.22,82,20,4.61,few clouds,2021-07-23 19:45:04
58,Kodiak,US,57.79,-152.4072,54.91,88,90,12.66,moderate rain,2021-07-23 19:45:04
59,Fortuna,US,40.5982,-124.1573,68.94,68,20,5.01,few clouds,2021-07-23 19:45:05
60,Impfondo,CG,1.6381,18.0667,75.7,71,100,2.57,overcast clouds,2021-07-23 19:45:05
61,Atuona,PF,-9.8,-139.0333,76.91,77,58,11.07,broken clouds,2021-07-23 19:45:05
62,Verkhoyansk,RU,67.5447,133.385,64.33,51,100,3.33,overcast clouds,2021-07-23 19:45:06
63,Dakar,SN,14.6937,-17.4441,81.48,61,75,6.91,broken clouds,2021-07-23 19:40:34
64,Hilo,US,19.7297,-155.09,78.8,88,90,5.75,moderate rain,2021-07-23 19:45:06
65,Sandnessjoen,NO,66.0217,12.6316,54.12,93,75,11.5,broken clouds,2021-07-23 19:45:07
66,Chuy,UY,-33.6971,-53.4616,65.05,78,5,4.29,clear sky,2021-07-23 19:45:07
67,Vaini,TO,-21.2,-175.2,73.56,94,20,2.3,few clouds,2021-07-23 19:42:17
68,Palmer,US,42.1584,-72.3287,81.77,41,40,3.0,light rain,2021-07-23 19:45:07
